order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Rosales,Rosaceae,Comarum,Comarum palustre,2197.21,13.36,55.30288288,0.371233216,0.4222,NA,0.25,0.22687,0.22687
Rosales,Rosaceae,Potentilla,Potentilla recta,910.05,NA,57.80938906,0.406906174,0.2258,NA,0.302576402,0.254420035,0.254420035
Rosales,Rosaceae,Potentilla,Potentilla simplex,625.55,NA,37.89059361,0.219390982,NA,NA,0.244659475,0.224071565,0.224071565
Asterales,Asteraceae,Nabalus,Nabalus albus,NA,16.39878044,NA,NA,NA,NA,NA,NA,NA
Asterales,Asteraceae,Nabalus,Nabalus racemosus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lamiales,Lamiaceae,Prunella,Prunella vulgaris,472.55,19.1721384,34.86427008,0.144699364,0.73,0.166888,NA,NA,0.166888
Rosales,Rosaceae,Prunus,Prunus americana,NA,NA,NA,4.1812467,664.2774,NA,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus pensylvanica,2047.7,23.47781293,60.79145317,11.10910705,39.0131,0.36,NA,NA,0.36
Rosales,Rosaceae,Prunus,Prunus pumila,NA,19.27952282,NA,1.286934342,147.7906,NA,NA,NA,NA
Rosales,Rosaceae,Prunus,Prunus serotina,2115.27,25.29629083,58.10870117,13.31316445,98.5236,0.604731345,NA,NA,0.604731345
Rosales,Rosaceae,Prunus,Prunus virginiana,975.08,18.85670178,39.59015991,5.99539284,65.8145,NA,NA,NA,NA
Lamiales,Lamiaceae,Pycnanthemum,Pycnanthemum virginianum,NA,NA,NA,NA,0.14,NA,NA,NA,NA
Ericales,Ericaceae,Pyrola,Pyrola rotundifolia,1355.19,13.46291202,53.9065135,0.120097156,NA,NA,0.25,0.22687,0.22687
Rosales,Rosaceae,Malus,Malus domestica,1620,26.642635,62.74205295,5.114735007,25.7151,NA,NA,NA,NA
Fagales,Fagaceae,Quercus,Quercus alba,7186.06,20.47676228,68.70919719,28.27776228,3111.1077,0.684543644,NA,NA,0.684543644
Fagales,Fagaceae,Quercus,Quercus petraea,2985.81,19.86644781,72.33548013,31.43850033,579.4958,0.579146906,NA,NA,0.579146906
Fagales,Fagaceae,Quercus,Quercus ellipsoidalis,3949.49,21.16050373,59.41097035,21.3,1698.3333,NA,NA,NA,NA
Fagales,Fagaceae,Quercus,Quercus macrocarpa,5409.77,22.14539006,65.70096128,28.4784124,6233.4608,0.67,NA,NA,0.67
Ranunculales,Ranunculaceae,Ranunculus,Ranunculus rhomboideus,1196.13,14.52630029,58.02936328,NA,1.17,NA,NA,NA,NA
Asterales,Asteraceae,Ratibida,Ratibida pinnata,583.54,8.6,67.42883437,0.903379936,0.6096,NA,0.258024261,0.231074713,0.231074713
Rosales,Rhamnaceae,Rhamnus,Rhamnus cathartica,655.96,24.36628659,58.48843604,3.291853038,20.3745,0.658103335,NA,NA,0.658103335
Rosales,Rhamnaceae,Frangula,Frangula alnus,1563.94,28.64792194,29.4082026,3.539464314,17.2032,0.416501047,NA,NA,0.411331231
Sapindales,Anacardiaceae,Rhus,Rhus glabra,7137.6,17.72816213,67.54501045,2.847025404,8.3723,NA,NA,NA,NA
Sapindales,Anacardiaceae,Toxicodendron,Toxicodendron radicans,NA,NA,46.7818659,2.774795068,16.6746,0.64852222,NA,NA,0.64852222
Sapindales,Anacardiaceae,Rhus,Rhus typhina,1174.13,25.20272032,61.38165939,6.885140439,10.3222,0.45,NA,NA,0.45
